unbroke	kingrichardii@2925
uncle	1kinghenryiv@2226, 1kinghenryiv@828, 1kinghenryiv@3906, 1kinghenryiv@3575, 1kinghenryiv@3484, 1kinghenryiv@815, 1kinghenryiv@814, 1kinghenryiv@191, 1kinghenryiv@3588, 1kinghenryiv@3527, 1kinghenryiv@1273, 1kinghenryiv@666, merrywivesofwindsor@2691, merrywivesofwindsor@2656, merrywivesofwindsor@2659, merrywivesofwindsor@2657, hamlet@2162, hamlet@553, hamlet@1714, hamlet@1250, hamlet@2145, hamlet@2442, hamlet@1174, hamlet@1195, hamlet@401, hamlet@3754, hamlet@2858, asyoulikeit@792, asyoulikeit@804, asyoulikeit@229, asyoulikeit@2249, asyoulikeit@883, asyoulikeit@3859, asyoulikeit@324, asyoulikeit@325, asyoulikeit@2278, asyoulikeit@697, merchantofvenice@595, othello@5153, cymbeline@2101, kinghenryv@603, kinghenryv@3957, kinghenryv@3828, kinghenryv@13, kinghenryv@426, kinghenryv@3932, kinghenryv@313, kinghenryv@3527, kinghenryv@1846, kinghenryv@4339, kinghenryv@1026, kinghenryv@1843, kinghenryv@3706, troilusandcressida@357, troilusandcressida@3298, troilusandcressida@367, troilusandcressida@3426, troilusandcressida@2552, troilusandcressida@3404, troilusandcressida@728, troilusandcressida@2558, troilusandcressida@30, troilusandcressida@643, troilusandcressida@732, troilusandcressida@3264, troilusandcressida@3308, troilusandcressida@3414, troilusandcressida@3325, troilusandcressida@373, kingjohn@2267, kingjohn@462, kingjohn@2117, kingjohn@2681, kingjohn@1601, kingjohn@2275, kingjohn@1098, kingjohn@1281, kingjohn@1721, kingrichardiii@2507, kingrichardiii@1910, kingrichardiii@2224, kingrichardiii@2546, kingrichardiii@2426, kingrichardiii@4466, kingrichardiii@2242, kingrichardiii@4550, kingrichardiii@2225, kingrichardiii@4549, kingrichardiii@2492, kingrichardiii@2348, kingrichardiii@2454, kingrichardiii@1920, kingrichardiii@2247, kingrichardiii@2513, kingrichardiii@4613, kingrichardiii@1933, kingrichardiii@1923, kingrichardiii@2563, romeoandjuliet@1095, romeoandjuliet@588, romeoandjuliet@328, allswellthatendswell@1017, macbeth@3312, macbeth@3646, muchadoaboutnothing@1121, muchadoaboutnothing@1515, muchadoaboutnothing@742, muchadoaboutnothing@2704, muchadoaboutnothing@90, muchadoaboutnothing@3979, muchadoaboutnothing@686, muchadoaboutnothing@119, muchadoaboutnothing@762, muchadoaboutnothing@3768, muchadoaboutnothing@3758, twelfthnight@21, 1kinghenryvi@1807, 1kinghenryvi@2729, 1kinghenryvi@15, 1kinghenryvi@1720, 1kinghenryvi@2090, 1kinghenryvi@4321, 1kinghenryvi@9, 1kinghenryvi@1987, 1kinghenryvi@2708, 1kinghenryvi@11, 1kinghenryvi@3510, 1kinghenryvi@13, 1kinghenryvi@1802, 1kinghenryvi@2578, 1kinghenryvi@2045, 1kinghenryvi@3498, 1kinghenryvi@1739, 1kinghenryvi@2067, 2kinghenryvi@2451, 2kinghenryvi@1151, 2kinghenryvi@9, 2kinghenryvi@1196, 2kinghenryvi@2442, 2kinghenryvi@2173, 2kinghenryvi@1173, 2kinghenryvi@1203, 2kinghenryvi@11, 2kinghenryvi@258, 2kinghenryvi@2765, 2kinghenryvi@235, 2kinghenryvi@2464, 2kinghenryvi@279, 3kinghenryvi@671, titusandronicus@2271, titusandronicus@2639, titusandronicus@3496, titusandronicus@3699, titusandronicus@3168, titusandronicus@2734, titusandronicus@2152, titusandronicus@2121, titusandronicus@1735, titusandronicus@3483, kingrichardii@2151, kingrichardii@2226, kingrichardii@3520, kingrichardii@1739, kingrichardii@1716, kingrichardii@1045, kingrichardii@1228, kingrichardii@3653, kingrichardii@1781, kingrichardii@3888, kingrichardii@2032, kingrichardii@1909, kingrichardii@1187, kingrichardii@1693, kingrichardii@1598, kingrichardii@277, kingrichardii@765, kingrichardii@1696, kingrichardii@2160, kingrichardii@1697, kingrichardii@1696, kingrichardii@739, kingrichardii@2231, kingrichardii@1161, kingrichardii@1686, kingrichardii@2674, kingrichardii@1727, comedyoferrors@2829, tempest@323, tempest@312
unclean	merrywivesofwindsor@3581, asyoulikeit@2414, romeoandjuliet@87, allswellthatendswell@3911, allswellthatendswell@118
uncleanliness	measureforemeasure@836
uncleanly	othello@2516, asyoulikeit@1872, asyoulikeit@1849, kingjohn@2845
uncleanness	measureforemeasure@1648, rapeoflucrece@291
uncles	kingrichardiii@2357, kingrichardiii@2566, kingrichardiii@4614, kingrichardiii@2350, kingrichardiii@2155, 3kinghenryvi@4583, 3kinghenryvi@792, 3kinghenryvi@654, 3kinghenryvi@60, kingrichardii@10
unclew	timonofathens@397
unclog	coriolanus@3891
uncoined	kinghenryv@4429
uncolted	1kinghenryiv@1113
uncomeliness	merrywivesofwindsor@1050
uncommon	glossary@2237
uncompassionate	twogentlemenofverona@2046
uncomprehensive	troilusandcressida@2958
unconfinable	merrywivesofwindsor@1340
unconfirmed	loveslabourslost@1857, muchadoaboutnothing@2182
unconquer	1kinghenryvi@2958
unconquered	rapeoflucrece@538, 2kinghenryvi@4233
unconscious	glossary@1083
unconsider	kinghenryviii@536
unconsidered	winterstale@2372
unconstant	kinglear@512, kingjohn@1526, tamingoftheshrew@2773, 3kinghenryvi@3982
unconstrain	3kinghenryvi@340
unconstrained	loverscomplaint@280, muchadoaboutnothing@2572
uncontemn	kinghenryviii@2517
uncontroll	kingrichardii@570
uncontrolled	venusandadonis@150, rapeoflucrece@809
uncorrected	kinghenryv@4300
uncounted	2kinghenryiv@150
uncourteous	twelfthnight@3952
uncouth	rapeoflucrece@1900, asyoulikeit@1450, titusandronicus@1342
uncover	2kinghenryvi@3194, romeoandjuliet@3592
uncovered	kinglear@2969, timonofathens@2391, muchadoaboutnothing@2958
uncropped	allswellthatendswell@4488
uncross	cymbeline@2382
uncrown	3kinghenryvi@3026, 3kinghenryvi@2808
unction	hamlet@4853, hamlet@3738, glossary@2200
unctuous	timonofathens@2901
uncuckolded	antonyandcleopatra@347
uncurable	2kinghenryvi@2277, 2kinghenryvi@4741
uncurbable	antonyandcleopatra@1238
uncurbed	kinghenryv@586
uncurls	titusandronicus@1092
uncurrent	twelfthnight@2369, winterstale@1731, hamlet@2240
uncurse	kingrichardii@2089
undaunted	1kinghenryvi@4294, 1kinghenryvi@284, macbeth@882
undeaf	kingrichardii@982
undeck	kingrichardii@2965
undeeded	macbeth@3716
undefended	glossary@2208
under	glossary@172, glossary@303, glossary@797, glossary@1240, glossary@1171, kingrichardii@1877, kingrichardii@2768, kingrichardii@1976, kingrichardii@2856, kingrichardii@2791, kingrichardii@3804, kingrichardii@1958, kingrichardii@3010, 2kinghenryvi@1423, 2kinghenryvi@3320, 2kinghenryvi@3908, 2kinghenryvi@576, 2kinghenryvi@4574, 2kinghenryvi@1597, cymbeline@1694, cymbeline@15, cymbeline@1986, cymbeline@592, cymbeline@1433, cymbeline@2187, cymbeline@12, 2kinghenryiv@2512, 2kinghenryiv@454, 2kinghenryiv@2266, 2kinghenryiv@382, 2kinghenryiv@2969, 2kinghenryiv@4549, juliuscaesar@421, juliuscaesar@2736, juliuscaesar@998, juliuscaesar@2343, juliuscaesar@2550, juliuscaesar@3593, troilusandcressida@824, troilusandcressida@3406, troilusandcressida@529, troilusandcressida@1937, troilusandcressida@1225, troilusandcressida@1415, troilusandcressida@1925, loveslabourslost@3740, loveslabourslost@1938, loveslabourslost@3651, loveslabourslost@660, loveslabourslost@2104, periclesprinceoftyre@3062, 1kinghenryiv@258, 1kinghenryiv@3969, 1kinghenryiv@719, 1kinghenryiv@2734, 1kinghenryiv@1445, 1kinghenryiv@108, kinglear@2707, kinglear@2907, kinglear@714, kinglear@2429, kinglear@1991, kinglear@1398, kinglear@688, kinglear@713, kingjohn@467, kingjohn@1408, kingjohn@568, kingjohn@1409, kingjohn@1583, kingjohn@1290, merchantofvenice@1449, merchantofvenice@1587, merchantofvenice@1228, merchantofvenice@1346, merchantofvenice@415, merchantofvenice@1580, merchantofvenice@2851, rapeoflucrece@513, rapeoflucrece@653, rapeoflucrece@692, rapeoflucrece@1729, coriolanus@2039, coriolanus@1837, coriolanus@4232, coriolanus@5014, tempest@3223, tempest@1630, tempest@1724, tempest@541, tempest@2813, tempest@1201, 1kinghenryvi@3650, 1kinghenryvi@2140, 1kinghenryvi@4144, titusandronicus@1053, titusandronicus@263, titusandronicus@2878, titusandronicus@2116, muchadoaboutnothing@3544, muchadoaboutnothing@3578, muchadoaboutnothing@411, muchadoaboutnothing@3240, muchadoaboutnothing@3686, muchadoaboutnothing@953, muchadoaboutnothing@931, muchadoaboutnothing@572, muchadoaboutnothing@1116, muchadoaboutnothing@3186, muchadoaboutnothing@2165, merrywivesofwindsor@3416, merrywivesofwindsor@873, merrywivesofwindsor@1086, merrywivesofwindsor@1071, merrywivesofwindsor@3383, merrywivesofwindsor@1348, merrywivesofwindsor@2668, merrywivesofwindsor@1696, romeoandjuliet@2427, romeoandjuliet@4508, romeoandjuliet@1297, romeoandjuliet@695, romeoandjuliet@2403, kinghenryv@3927, kinghenryv@1742, kinghenryv@3778, kinghenryv@2168, kinghenryv@1669, kinghenryv@2248, kinghenryv@4412, kinghenryv@2843, 3kinghenryvi@1721, 3kinghenryvi@715, othello@335, twelfthnight@425, twelfthnight@1835, twelfthnight@430, twelfthnight@1688, twelfthnight@404, allswellthatendswell@4216, allswellthatendswell@322, allswellthatendswell@3768, allswellthatendswell@318, allswellthatendswell@3927, allswellthatendswell@323, allswellthatendswell@946, allswellthatendswell@82, allswellthatendswell@2397, allswellthatendswell@314, allswellthatendswell@320, twogentlemenofverona@1491, twogentlemenofverona@2900, twogentlemenofverona@1491, twogentlemenofverona@2559, twogentlemenofverona@1489, macbeth@2378, macbeth@2309, macbeth@1657, macbeth@414, macbeth@1689, macbeth@694, hamlet@1576, hamlet@2584, winterstale@2300, winterstale@2371, winterstale@3701, winterstale@2152, asyoulikeit@2088, asyoulikeit@3304, asyoulikeit@3948, asyoulikeit@2449, asyoulikeit@95, asyoulikeit@2187, asyoulikeit@1131, asyoulikeit@1383, asyoulikeit@2474, tamingoftheshrew@3617, tamingoftheshrew@1865, tamingoftheshrew@2523, tamingoftheshrew@4056, tamingoftheshrew@2962, kinghenryviii@1099, kinghenryviii@956, kinghenryviii@1915, kinghenryviii@510, kinghenryviii@1773, kinghenryviii@2177, kinghenryviii@3282, kinghenryviii@3924, kinghenryviii@3046, kinghenryviii@4471, kinghenryviii@1916, kinghenryviii@737, kinghenryviii@2506, kinghenryviii@4553, sonnets@1331, sonnets@121, sonnets@819, sonnets@2045, loverscomplaint@266, antonyandcleopatra@3688, antonyandcleopatra@550, antonyandcleopatra@4074, kingrichardiii@2145, kingrichardiii@5168, midsummersnightsdream@289, midsummersnightsdream@2289, comedyoferrors@443, comedyoferrors@114, timonofathens@1809, timonofathens@2135, timonofathens@391, timonofathens@1542, measureforemeasure@264, measureforemeasure@397, measureforemeasure@1713, measureforemeasure@3232, measureforemeasure@470, measureforemeasure@3033, venusandadonis@699, venusandadonis@900
underbearing	kingrichardii@899
underborne	muchadoaboutnothing@2310
undercrest	coriolanus@1335
undergo	troilusandcressida@2524, juliuscaesar@844, cymbeline@749, cymbeline@2963, 2kinghenryiv@887, 2kinghenryiv@1129, kingjohn@2284, kingjohn@3150, 1kinghenryiv@714, tempest@1885, measureforemeasure@102, hamlet@1003, twogentlemenofverona@3417, winterstale@3346, winterstale@1546, timonofathens@2114, midsummersnightsdream@167
undergoes	muchadoaboutnothing@3709, cymbeline@2233
undergoing	tempest@431
undergone	tempest@1851
underhand	asyoulikeit@260, kingrichardiii@5015
underlings	juliuscaesar@425
undermine	2kinghenryvi@599, troilusandcressida@1757, allswellthatendswell@227
undermined	glossary@2213
underminers	allswellthatendswell@229
underneath	2kinghenryvi@4708, juliuscaesar@176, juliuscaesar@332, 2kinghenryiv@3515, rapeoflucrece@987, kingrichardiii@5061, muchadoaboutnothing@3414, 1kinghenryvi@3731, 1kinghenryvi@1093, twelfthnight@3394, romeoandjuliet@305, romeoandjuliet@2531, titusandronicus@2989, kinghenryv@239, 3kinghenryvi@1578
underprizing	merchantofvenice@2145
underprop	rapeoflucrece@131, kingjohn@3149, kingrichardii@1459
understand	kingrichardii@3627, kingjohn@1797, kingjohn@2588, kingjohn@2617, 3kinghenryvi@4179, 3kinghenryvi@3292, allswellthatendswell@343, allswellthatendswell@2924, allswellthatendswell@2825, allswellthatendswell@2823, allswellthatendswell@1264, allswellthatendswell@4212, allswellthatendswell@142, allswellthatendswell@1397, troilusandcressida@4007, troilusandcressida@5385, troilusandcressida@4115, troilusandcressida@2203, glossary@73, 2kinghenryvi@1426, coriolanus@4777, kinghenryv@614, kinghenryv@4404, kinghenryv@4474, kinghenryv@2139, periclesprinceoftyre@2008, periclesprinceoftyre@2626, loveslabourslost@4098, loveslabourslost@4101, midsummersnightsdream@1744, midsummersnightsdream@1255, 1kinghenryiv@2486, 1kinghenryiv@2479, 1kinghenryiv@3627, 1kinghenryiv@2375, kinglear@1233, kinglear@2200, kinglear@597, merchantofvenice@522, merchantofvenice@2002, merchantofvenice@519, merchantofvenice@1588, merchantofvenice@2671, merchantofvenice@2931, titusandronicus@1761, kingrichardiii@4757, merrywivesofwindsor@1478, merrywivesofwindsor@1540, merrywivesofwindsor@1634, merrywivesofwindsor@369, merrywivesofwindsor@364, merrywivesofwindsor@261, merrywivesofwindsor@260, othello@5333, othello@5070, othello@409, othello@3966, othello@547, twelfthnight@2079, twelfthnight@2038, twelfthnight@744, twelfthnight@2078, twelfthnight@920, asyoulikeit@243, asyoulikeit@3281, asyoulikeit@1730, cymbeline@1599, cymbeline@771, hamlet@889, hamlet@5591, hamlet@3870, hamlet@3278, hamlet@4989, hamlet@3844, hamlet@3960, kinghenryviii@4059, kinghenryviii@880, kinghenryviii@4219, macbeth@312, timonofathens@1191, timonofathens@2279, timonofathens@206, timonofathens@3084, tamingoftheshrew@2926, tamingoftheshrew@2918, tamingoftheshrew@816, tamingoftheshrew@1052, tamingoftheshrew@1216, measureforemeasure@2557, measureforemeasure@2419, measureforemeasure@3023, tempest@1457, antonyandcleopatra@5482, winterstale@1771, winterstale@3553, winterstale@504, twogentlemenofverona@1479, comedyoferrors@1859, comedyoferrors@496, comedyoferrors@830, comedyoferrors@490
understandeth	loveslabourslost@1968
understanding	loveslabourslost@2785, loveslabourslost@413, 2kinghenryiv@728, 3kinghenryvi@1934, kinghenryv@4394, kinghenryv@333, kinglear@4098, asyoulikeit@3494, hamlet@1622, hamlet@493, hamlet@737, kinghenryviii@127, kinghenryviii@4336, winterstale@497, winterstale@107, measureforemeasure@2117, tempest@2986
understandings	merrywivesofwindsor@3096
understands	merchantofvenice@399, 1kinghenryiv@2525, titusandronicus@3160, twogentlemenofverona@1482, twogentlemenofverona@1487
understood	kingrichardii@1218, juliuscaesar@609, allswellthatendswell@3249, allswellthatendswell@1568, loveslabourslost@2837, loveslabourslost@3356, 2kinghenryvi@1083, glossary@2411, coriolanus@1559, periclesprinceoftyre@613, muchadoaboutnothing@3477, asyoulikeit@2384, macbeth@2183, loverscomplaint@232
underta	winterstale@1768
undertake	winterstale@1232, winterstale@3736, periclesprinceoftyre@150, periclesprinceoftyre@3145, periclesprinceoftyre@1508, glossary@2211, twogentlemenofverona@2340, twogentlemenofverona@1612, kingjohn@1788, troilusandcressida@2747, 1kinghenryiv@1260, 1kinghenryiv@1256, othello@2052, othello@827, 2kinghenryvi@573, loveslabourslost@2043, midsummersnightsdream@524, allswellthatendswell@2589, allswellthatendswell@2655, allswellthatendswell@3500, allswellthatendswell@2678, allswellthatendswell@2863, coriolanus@4910, coriolanus@3151, 1kinghenryvi@3893, 1kinghenryvi@3823, 3kinghenryvi@2771, 3kinghenryvi@1989, merrywivesofwindsor@2944, romeoandjuliet@3553, kingrichardiii@537, kingrichardiii@1531, loverscomplaint@324, muchadoaboutnothing@1153, twelfthnight@2802, twelfthnight@322, twelfthnight@2126, cymbeline@3232, cymbeline@1327, cymbeline@2622, titusandronicus@705, kinglear@3738, tamingoftheshrew@2915, tamingoftheshrew@1097, tamingoftheshrew@762, kinghenryviii@117, hamlet@4749, hamlet@4831
undertaker	othello@3738, twelfthnight@2908
undertakes	kingrichardii@1545, kinghenryviii@1345, muchadoaboutnothing@1546
undertaking	winterstale@1240, twogentlemenofverona@1682, glossary@725, allswellthatendswell@3171, measureforemeasure@2540, cymbeline@3565
undertakings	hamlet@1575, troilusandcressida@1641, troilusandcressida@2521
undertook	2kinghenryiv@3780, merchantofvenice@1174, allswellthatendswell@4171, othello@5337, titusandronicus@124
undervalued	merchantofvenice@1524, merchantofvenice@280
underwent	1kinghenryiv@729
underwood	glossary@221
underwrit	macbeth@3793
underwrite	troilusandcressida@1930
undescried	winterstale@3517
undeserved	merchantofvenice@1708, kingjohn@2249, rapeoflucrece@1013, allswellthatendswell@1658, tamingoftheshrew@2719
undeserver	2kinghenryiv@2146, kinghenryviii@2795
undeservers	juliuscaesar@2904
undeserving	loveslabourslost@3464, twogentlemenofverona@1749
undetermined	kingjohn@913
undid	kinghenryv@4407, antonyandcleopatra@1451
undinted	antonyandcleopatra@1967
undiscernible	measureforemeasure@4079
undisclosed	glossary@2219
undiscover	hamlet@2586, 2kinghenryvi@2380
undiscovered	winterstale@4317
undishonoured	comedyoferrors@823
undisposed	comedyoferrors@365
undistinguish	loverscomplaint@25, kinglear@4541
undistinguishable	midsummersnightsdream@683, midsummersnightsdream@2370
undividable	comedyoferrors@799
undivided	sonnets@615
undivulged	kinglear@2703, macbeth@1433
undo	kinglear@5487, kinglear@3687, 2kinghenryvi@2165, 2kinghenryvi@3359, hamlet@5143, troilusandcressida@2321, periclesprinceoftyre@2691, periclesprinceoftyre@3100, periclesprinceoftyre@3063, periclesprinceoftyre@2888, cymbeline@5220, cymbeline@1597, twelfthnight@1046, twelfthnight@257, muchadoaboutnothing@1235, muchadoaboutnothing@3881, glossary@2209, glossary@572, loveslabourslost@3544, kinghenryviii@1426, winterstale@615, tempest@634, 3kinghenryvi@1993, coriolanus@183, timonofathens@1694, allswellthatendswell@2922, othello@4442, othello@2085, kingrichardii@2913, midsummersnightsdream@2201, titusandronicus@2442, titusandronicus@874, 2kinghenryiv@4860
undoes	2kinghenryiv@3337, winterstale@4242
undoing	kinghenryviii@4208, kinghenryviii@3004, allswellthatendswell@1771, antonyandcleopatra@5424
undone	antonyandcleopatra@1862, antonyandcleopatra@2458, winterstale@3195, winterstale@3219, winterstale@3211, periclesprinceoftyre@292, periclesprinceoftyre@2682, kinglear@99, macbeth@3274, macbeth@3623, macbeth@628, troilusandcressida@3038, muchadoaboutnothing@2968, tamingoftheshrew@3623, tamingoftheshrew@3666, tamingoftheshrew@3666, tamingoftheshrew@3728, cymbeline@3543, romeoandjuliet@2631, romeoandjuliet@2631, 2kinghenryiv@1007, 2kinghenryiv@2498, 1kinghenryiv@1192, 1kinghenryiv@1190, 1kinghenryiv@3877, venusandadonis@943, merrywivesofwindsor@2374, merrywivesofwindsor@2391, merrywivesofwindsor@3789, merrywivesofwindsor@3789, merrywivesofwindsor@3193, twogentlemenofverona@1450, twogentlemenofverona@2441, merchantofvenice@1969, juliuscaesar@2801, 3kinghenryvi@493, allswellthatendswell@2087, allswellthatendswell@4186, allswellthatendswell@3544, allswellthatendswell@178, titusandronicus@2444, titusandronicus@2448, titusandronicus@2411, timonofathens@2923, timonofathens@3329, timonofathens@2530, coriolanus@1907, coriolanus@4784, coriolanus@4647, coriolanus@185, kinghenryviii@2844, othello@4608, othello@2597, othello@4918, asyoulikeit@3878
undoubted	kingjohn@933, 1kinghenryvi@2481, allswellthatendswell@1156, 3kinghenryvi@4573
undoubtedly	kinghenryviii@3518
undoubtful	measureforemeasure@2994
undream	winterstale@3378
undress	glossary@615, tamingoftheshrew@455
undressed	glossary@2231, loveslabourslost@1855
undrown	tempest@1411, tempest@1415
unduteous	merrywivesofwindsor@4420
undutiful	3kinghenryvi@4319
une	kinghenryv@1951, kinghenryv@1957, kinghenryv@4547
unear	sonnets@56
unearned	midsummersnightsdream@3108
unearthly	winterstale@1634
uneasiness	kinghenryv@970
uneasy	winterstale@2316, tempest@901, 2kinghenryiv@2203
uneducated	loveslabourslost@1856
uneffectual	hamlet@1224
unelected	coriolanus@2460
unequal	2kinghenryiv@2939, antonyandcleopatra@1856, hamlet@2288, 1kinghenryvi@4253, 3kinghenryvi@2428
uneven	midsummersnightsdream@2018, measureforemeasure@3387, 1kinghenryiv@141, 1kinghenryiv@1093, kingrichardii@1575, kingrichardii@1509
unexamined	kingrichardiii@3286
unexecuted	antonyandcleopatra@3131
unexpected	kingjohn@548, kingjohn@3626
unexperienced	tamingoftheshrew@2532
unexperient	loverscomplaint@368
unexpressive	asyoulikeit@1796
unfair	sonnets@89
unfaithful	asyoulikeit@3060
unfallible	1kinghenryvi@447
unfamed	troilusandcressida@1672
unfashionable	kingrichardiii@163
unfasten	2kinghenryiv@3066
unfather	sonnets@2112, sonnets@1660
unfed	kinglear@2873
unfee	kinglear@1080
unfeeling	2kinghenryvi@2606, merchantofvenice@2809, kingrichardii@665
unfeigned	3kinghenryvi@2558, 3kinghenryvi@2768, glossary@2210, tamingoftheshrew@2795
unfeignedly	kingrichardiii@1713, kingjohn@1118, allswellthatendswell@1641
unfellowed	hamlet@5614
unfelt	kingrichardiii@1370, macbeth@1448, kingrichardii@1653, rapeoflucrece@1018
unfenced	kingjohn@951
unfilial	winterstale@3136
unfill	coriolanus@4914
unfilled	twelfthnight@1150
unfinish	kingrichardiii@161, venusandadonis@512, kinghenryviii@3530, comedyoferrors@1454
unfirm	juliuscaesar@691, twelfthnight@1490, romeoandjuliet@4308, 2kinghenryiv@909
unfit	kingrichardiii@512, kingrichardiii@3568, 3kinghenryvi@2335, tempest@2357, kinghenryviii@1545, allswellthatendswell@3845
unfitness	kinglear@1379
unfix	2kinghenryiv@3065, macbeth@453
unfledged	winterstale@280, hamlet@847, cymbeline@2384
unfold	cymbeline@5231, cymbeline@131, cymbeline@1651, hamlet@1126, hamlet@91, hamlet@1140, macbeth@2345, 2kinghenryiv@136, 2kinghenryiv@2910, allswellthatendswell@223, 2kinghenryvi@1415, 2kinghenryvi@2570, kinghenryv@328, twelfthnight@3647, twelfthnight@489, measureforemeasure@77, measureforemeasure@115, kinglear@483, kingrichardiii@2270, juliuscaesar@1311, juliuscaesar@1394, midsummersnightsdream@338, merrywivesofwindsor@695, rapeoflucrece@1381, rapeoflucrece@933, othello@4526, othello@4155, kingrichardii@2041, kingrichardii@1865, merchantofvenice@1677
unfolded	antonyandcleopatra@5634, merrywivesofwindsor@1565, merrywivesofwindsor@1608, kinghenryviii@2542
unfoldeth	twelfthnight@160
unfolding	sonnets@897, measureforemeasure@3079, othello@845
unfolds	othello@2660, winterstale@2211, midsummersnightsdream@257
unfool	merrywivesofwindsor@3303
unforced	othello@1439, hamlet@522
unforfeited	merchantofvenice@1356
unfortified	hamlet@492
unfortunate	cymbeline@3376, macbeth@2625, allswellthatendswell@2092, 1kinghenryvi@761, othello@5287, othello@1639, 3kinghenryvi@2646, coriolanus@5283, kinglear@4240, asyoulikeit@2307, timonofathens@2319
unfortunately	venusandadonis@1230
unfrequented	twogentlemenofverona@3367, titusandronicus@947
unfriended	twelfthnight@2361
unfriendly	periclesprinceoftyre@1837
unfruitful	rapeoflucrece@465
unfurnish	kinghenryv@476, merchantofvenice@2143, kingrichardii@431
unfurnished	romeoandjuliet@3650
ungain	troilusandcressida@747, troilusandcressida@751
ungalled	hamlet@3162, comedyoferrors@1152
ungartered	asyoulikeit@2289, twogentlemenofverona@786
ungenitured	measureforemeasure@2468
ungentle	titusandronicus@1521, juliuscaesar@1275, 3kinghenryvi@1556, asyoulikeit@3632, 1kinghenryiv@3756, 1kinghenryiv@3704, periclesprinceoftyre@3023, antonyandcleopatra@5288, comedyoferrors@1734, winterstale@4032, winterstale@2067
ungentleness	asyoulikeit@3628
ungently	juliuscaesar@1270, troilusandcressida@4760, tempest@887
ungird	twelfthnight@3064
ungodly	kingjohn@1349
ungored	hamlet@5760
ungot	measureforemeasure@3740
ungotten	kinghenryv@635
ungovern	kingrichardiii@2059, kingrichardiii@3463, twogentlemenofverona@2506, kinglear@4017
ungracious	kinglear@4546, hamlet@823, 2kinghenryvi@4255, troilusandcressida@243, 1kinghenryiv@2045, kingrichardiii@1856, kingrichardii@1698
ungrateful	coriolanus@4272, titusandronicus@2629, titusandronicus@2269, kingrichardiii@2014, timonofathens@1732, timonofathens@2900, midsummersnightsdream@1700
ungravely	coriolanus@2496
ungrown	venusandadonis@642, 1kinghenryiv@4172
unguarded	macbeth@877, kinghenryv@500, cymbeline@4346
unguem	loveslabourslost@2741
unguided	2kinghenryiv@3581
unhack	kingjohn@773, antonyandcleopatra@1966
unhair	antonyandcleopatra@1779, kingjohn@3193
unhallow	rapeoflucrece@702, rapeoflucrece@519, rapeoflucrece@290, 1kinghenryvi@1944, measureforemeasure@3986, titusandronicus@3441, titusandronicus@3495, romeoandjuliet@4381, 2kinghenryvi@1269, merchantofvenice@2909, periclesprinceoftyre@3027
unhallowed	titusandronicus@1340
unhandled	kinghenryviii@2602, merchantofvenice@3559
unhandsome	muchadoaboutnothing@295, 1kinghenryiv@571, asyoulikeit@4099, othello@3286
unhanged	1kinghenryiv@1615
unhappied	kingrichardii@1868
unhappily	kinglear@736, sonnets@1127, hamlet@4250, rapeoflucrece@80, kinghenryviii@1145
unhappiness	muchadoaboutnothing@1130, kingrichardiii@390
